country,iso2c,iso3c,year,EN.ATM.CO2E.PC,status,lastupdated,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,2021,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2020,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2019,0.160976451493467,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2018,0.165454681763912,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2017,0.134106112096442,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2016,0.15301907020982,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2015,0.176278015184889,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2014,0.149161535350241,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2013,0.189910278046671,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2012,0.265209508578463,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2011,0.305307954864333,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2010,0.252220037661822,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2009,0.178197750875713,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2008,0.134709695975708,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2007,0.0683310586911881,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2006,0.0691743844762328,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2005,0.063495466170261,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2004,0.0437301352730113,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2003,0.0538747195803349,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2002,0.0490470197787003,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2001,0.037077233197309,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2000,0.0388886404336861,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1999,0.0420498589850192,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1998,0.0562370938573304,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1997,0.0618365952231005,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1996,0.0689792445545125,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1995,0.0755226655700451,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1994,0.0834651359980279,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1993,0.0956885864939131,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1992,0.115281586055672,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1991,0.207535164413917,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1990,0.2225381391099,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1989,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1988,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1987,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1986,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1985,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1984,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1983,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1982,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1981,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1980,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1979,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1978,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1977,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1976,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1975,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1974,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1973,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1972,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1971,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1970,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1969,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1968,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1967,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1966,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1965,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1964,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1963,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1962,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1961,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1960,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Africa Eastern and Southern,ZH,AFE,1972,NA,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1975,NA,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1974,NA,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1973,NA,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2018,0.90809351757865,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2017,0.928507991370632,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1971,NA,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1970,NA,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1969,NA,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1968,NA,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1967,NA,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1966,NA,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1981,NA,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1980,NA,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2021,NA,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2020,NA,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2019,0.903764110583573,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1960,NA,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1976,NA,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1990,0.982136340412434,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2016,0.938564717748011,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2015,0.956703663086829,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2014,1.00693765045541,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2013,0.995664910620022,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
