country,iso2c,iso3c,year,NY.GDP.PCAP.KD
Brunei Darussalam,BN,BRN,2021,29673.4033162602
Brunei Darussalam,BN,BRN,2020,30402.0870578242
Brunei Darussalam,BN,BRN,2019,30313.6563877064
Brunei Darussalam,BN,BRN,2018,29438.1006980189
Brunei Darussalam,BN,BRN,2017,29696.1184093173
Brunei Darussalam,BN,BRN,2016,29601.3333300451
Brunei Darussalam,BN,BRN,2015,30681.6794391894
Brunei Darussalam,BN,BRN,2014,31155.993369534
Brunei Darussalam,BN,BRN,2013,32342.1477618547
Brunei Darussalam,BN,BRN,2012,33456.5329618933
Brunei Darussalam,BN,BRN,2011,33577.3290633936
Brunei Darussalam,BN,BRN,2010,32810.7661477926
Brunei Darussalam,BN,BRN,2009,32450.0899445978
Brunei Darussalam,BN,BRN,2008,33526.2708651983
Brunei Darussalam,BN,BRN,2007,34714.8179551782
Brunei Darussalam,BN,BRN,2006,35213.5001516669
Brunei Darussalam,BN,BRN,2005,34290.3851120903
Brunei Darussalam,BN,BRN,2004,34750.8516541693
Brunei Darussalam,BN,BRN,2003,35203.0707340712
Brunei Darussalam,BN,BRN,2002,34857.6720758786
Brunei Darussalam,BN,BRN,2001,34219.5843697406
Brunei Darussalam,BN,BRN,2000,33986.0873843111
Brunei Darussalam,BN,BRN,1999,33739.7636768682
Brunei Darussalam,BN,BRN,1998,33445.388408467
Brunei Darussalam,BN,BRN,1997,34378.1326205262
Brunei Darussalam,BN,BRN,1996,35691.2701318157
Brunei Darussalam,BN,BRN,1995,35516.1273999996
Brunei Darussalam,BN,BRN,1994,34827.6126770924
Brunei Darussalam,BN,BRN,1993,34622.0453238023
Brunei Darussalam,BN,BRN,1992,35424.8304016915
Brunei Darussalam,BN,BRN,1991,34762.5128722849
Brunei Darussalam,BN,BRN,1990,34722.8694983978
Brunei Darussalam,BN,BRN,1989,35445.7587287677
Brunei Darussalam,BN,BRN,1988,37010.5679299618
Brunei Darussalam,BN,BRN,1987,37843.4926181848
Brunei Darussalam,BN,BRN,1986,38372.9248068644
Brunei Darussalam,BN,BRN,1985,40810.6751351616
Brunei Darussalam,BN,BRN,1984,42863.4219804476
Brunei Darussalam,BN,BRN,1983,44077.6860811008
Brunei Darussalam,BN,BRN,1982,45364.5654190884
Brunei Darussalam,BN,BRN,1981,45106.2822853178
