T08,"Enrolment in primary, secondary and tertiary education levels",...3,...4,...5,...6,...7
Region/Country/Area,NA,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Students enrolled in primary education (thousands),"679,014",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2005,Gross enrollment ratio - Primary (male),104.5,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2005,Gross enrollment ratio - Primary (female),99.7,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2005,Students enrolled in secondary education (thousands),"509,277",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2005,Gross enrollment ratio - Secondary (male),65.8,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2005,Gross enrollment ratio - Secondary (female),62.3,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2005,Students enrolled in upper secondary education (thousands),"199,756",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2005,Gross enrollment ratio - Upper secondary level (male),51.2,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2005,Gross enrollment ratio - Upper secondary level (female),48.3,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2010,Students enrolled in primary education (thousands),"697,382",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2010,Gross enrollment ratio - Primary (male),104.0,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2010,Gross enrollment ratio - Primary (female),101.4,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2010,Students enrolled in secondary education (thousands),"546,435",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2010,Gross enrollment ratio - Secondary (male),72.2,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2010,Gross enrollment ratio - Secondary (female),69.9,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2010,Students enrolled in upper secondary education (thousands),"230,826",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2010,Gross enrollment ratio - Upper secondary level (male),61.0,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2010,Gross enrollment ratio - Upper secondary level (female),58.5,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2015,Students enrolled in primary education (thousands),"719,654",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2015,Gross enrollment ratio - Primary (male),102.4,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2015,Gross enrollment ratio - Primary (female),102.4,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2015,Students enrolled in secondary education (thousands),"583,097",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2015,Gross enrollment ratio - Secondary (male),75.8,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2015,Gross enrollment ratio - Secondary (female),75.0,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2015,Students enrolled in upper secondary education (thousands),"258,233",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2015,Gross enrollment ratio - Upper secondary level (male),67.3,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2015,Gross enrollment ratio - Upper secondary level (female),66.0,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2020,Students enrolled in primary education (thousands),"750,125",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2020,Gross enrollment ratio - Primary (male),103.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2020,Gross enrollment ratio - Primary (female),101.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2020,Students enrolled in secondary education (thousands),"613,160",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2020,Gross enrollment ratio - Secondary (male),77.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2020,Gross enrollment ratio - Secondary (female),76.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2020,Students enrolled in upper secondary education (thousands),"269,812",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2020,Gross enrollment ratio - Upper secondary level (male),69.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
1,"Total, all countries or areas",2020,Gross enrollment ratio - Upper secondary level (female),67.8,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2005,Students enrolled in primary education (thousands),"23,023",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2005,Gross enrollment ratio - Primary (male),96.9,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2005,Gross enrollment ratio - Primary (female),89.9,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2005,Students enrolled in secondary education (thousands),"16,897",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2005,Gross enrollment ratio - Secondary (male),69.8,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2005,Gross enrollment ratio - Secondary (female),68.9,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2005,Students enrolled in upper secondary education (thousands),"6,998",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2005,Gross enrollment ratio - Upper secondary level (male),53.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2005,Gross enrollment ratio - Upper secondary level (female),57.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2010,Students enrolled in primary education (thousands),"23,598",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2010,Gross enrollment ratio - Primary (male),100.8,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2010,Gross enrollment ratio - Primary (female),95.5,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2010,Students enrolled in secondary education (thousands),"17,399",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2010,Gross enrollment ratio - Secondary (male),72.0,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2010,Gross enrollment ratio - Secondary (female),70.3,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2010,Students enrolled in upper secondary education (thousands),"6,272",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2010,Gross enrollment ratio - Upper secondary level (male),48.6,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2010,Gross enrollment ratio - Upper secondary level (female),52.0,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2015,Students enrolled in primary education (thousands),"25,786",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
15,Northern Africa,2015,Gross enrollment ratio - Primary (male),101.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
