country,variable,percentile,year,value
AD,wwealg999i,p0p100,1995,0.0764643251895905
AD,wwealg999i,p0p100,1996,0.0972819924354553
AD,wwealg999i,p0p100,1997,0.117751896381378
AD,wwealg999i,p0p100,1998,0.138106778264046
AD,wwealg999i,p0p100,1999,0.15920515358448
AD,wwealg999i,p0p100,2000,0.181880339980125
AD,wwealg999i,p0p100,2001,0.206739023327828
AD,wwealg999i,p0p100,2002,0.233848839998245
AD,wwealg999i,p0p100,2003,0.263175994157791
AD,wwealg999i,p0p100,2004,0.294293820858002
AD,wwealg999i,p0p100,2005,0.325977027416229
AD,wwealg999i,p0p100,2006,0.356062293052673
AD,wwealg999i,p0p100,2007,0.381859719753265
AD,wwealg999i,p0p100,2008,0.401044279336929
AD,wwealg999i,p0p100,2009,0.412422716617584
AD,wwealg999i,p0p100,2010,0.415999203920364
AD,wwealg999i,p0p100,2011,0.412765920162201
AD,wwealg999i,p0p100,2012,0.403874576091766
AD,wwealg999i,p0p100,2013,0.390658259391785
AD,wwealg999i,p0p100,2014,0.374158263206482
AD,wwealg999i,p0p100,2015,0.355441302061081
AD,wwealg999i,p0p100,2016,0.335694640874863
AD,wwealg999i,p0p100,2017,0.315818399190903
AD,wwealg999i,p0p100,2018,0.296304315328598
AD,wwealg999i,p0p100,2019,0.277210682630539
AD,wwealg999i,p0p100,2020,0.259049445390701
AD,wwealg999i,p0p100,2021,0.240798696875572
AE,wwealg999i,p0p100,1995,1.07727956771851
AE,wwealg999i,p0p100,1996,1.09332156181335
AE,wwealg999i,p0p100,1997,1.12833726406097
AE,wwealg999i,p0p100,1998,1.20000410079956
AE,wwealg999i,p0p100,1999,1.24622440338135
AE,wwealg999i,p0p100,2000,1.25205147266388
AE,wwealg999i,p0p100,2001,1.28128373622894
AE,wwealg999i,p0p100,2002,1.26548027992248
AE,wwealg999i,p0p100,2003,1.25244402885437
AE,wwealg999i,p0p100,2004,1.23809802532196
AE,wwealg999i,p0p100,2005,1.20238614082336
AE,wwealg999i,p0p100,2006,1.1841287612915
AE,wwealg999i,p0p100,2007,1.20109450817108
AE,wwealg999i,p0p100,2008,1.13626515865326
AE,wwealg999i,p0p100,2009,1.09179186820984
AE,wwealg999i,p0p100,2010,1.06931495666504
AE,wwealg999i,p0p100,2011,1.02049958705902
AE,wwealg999i,p0p100,2012,1.01556825637817
AE,wwealg999i,p0p100,2013,1.1426215171814
AE,wwealg999i,p0p100,2014,1.27295744419098
AE,wwealg999i,p0p100,2015,1.31906092166901
AE,wwealg999i,p0p100,2016,1.29794502258301
AE,wwealg999i,p0p100,2017,1.2821147441864
AE,wwealg999i,p0p100,2018,1.27788901329041
AE,wwealg999i,p0p100,2019,1.24177670478821
AE,wwealg999i,p0p100,2020,1.23115456104279
AE,wwealg999i,p0p100,2021,1.22025084495544
AF,wwealg999i,p0p100,1995,-1.56059265136719
AF,wwealg999i,p0p100,1996,-1.53411281108856
AF,wwealg999i,p0p100,1997,-1.50929307937622
AF,wwealg999i,p0p100,1998,-1.4868186712265
AF,wwealg999i,p0p100,1999,-1.4675635099411
AF,wwealg999i,p0p100,2000,-1.44463074207306
