country,variable,percentile,year,value
AD,wwealp999i,p0p100,1995,0.44101271033287
AD,wwealp999i,p0p100,1996,0.488255858421326
AD,wwealp999i,p0p100,1997,0.534317195415497
AD,wwealp999i,p0p100,1998,0.581878840923309
AD,wwealp999i,p0p100,1999,0.627591609954834
AD,wwealp999i,p0p100,2000,0.678464651107788
AD,wwealp999i,p0p100,2001,0.726944446563721
AD,wwealp999i,p0p100,2002,0.778236150741577
AD,wwealp999i,p0p100,2003,0.834409654140472
AD,wwealp999i,p0p100,2004,0.89412134885788
AD,wwealp999i,p0p100,2005,0.957088053226471
AD,wwealp999i,p0p100,2006,1.02176761627197
AD,wwealp999i,p0p100,2007,1.08571922779083
AD,wwealp999i,p0p100,2008,1.14638555049896
AD,wwealp999i,p0p100,2009,1.20201718807221
AD,wwealp999i,p0p100,2010,1.25310289859772
AD,wwealp999i,p0p100,2011,1.3008748292923
AD,wwealp999i,p0p100,2012,1.34936988353729
AD,wwealp999i,p0p100,2013,1.39786124229431
AD,wwealp999i,p0p100,2014,1.44891285896301
AD,wwealp999i,p0p100,2015,1.50426042079925
AD,wwealp999i,p0p100,2016,1.56434190273285
AD,wwealp999i,p0p100,2017,1.62960803508759
AD,wwealp999i,p0p100,2018,1.69935667514801
AD,wwealp999i,p0p100,2019,1.77451419830322
AD,wwealp999i,p0p100,2020,1.85133492946625
AD,wwealp999i,p0p100,2021,1.92864453792572
AE,wwealp999i,p0p100,1995,3.25950074195862
AE,wwealp999i,p0p100,1996,3.29458284378052
AE,wwealp999i,p0p100,1997,3.36878037452698
AE,wwealp999i,p0p100,1998,3.57505130767822
AE,wwealp999i,p0p100,1999,3.72940444946289
AE,wwealp999i,p0p100,2000,3.74137330055237
AE,wwealp999i,p0p100,2001,3.80803942680359
AE,wwealp999i,p0p100,2002,3.80092430114746
AE,wwealp999i,p0p100,2003,3.85170006752014
AE,wwealp999i,p0p100,2004,3.90101718902588
AE,wwealp999i,p0p100,2005,3.99223899841309
AE,wwealp999i,p0p100,2006,4.05582857131958
AE,wwealp999i,p0p100,2007,4.19472122192383
AE,wwealp999i,p0p100,2008,4.12806415557861
AE,wwealp999i,p0p100,2009,4.23377275466919
AE,wwealp999i,p0p100,2010,4.23979043960571
AE,wwealp999i,p0p100,2011,4.20899724960327
AE,wwealp999i,p0p100,2012,4.2316951751709
AE,wwealp999i,p0p100,2013,4.07310914993286
AE,wwealp999i,p0p100,2014,3.89066672325134
AE,wwealp999i,p0p100,2015,3.96744704246521
AE,wwealp999i,p0p100,2016,4.00419521331787
AE,wwealp999i,p0p100,2017,4.03709936141968
AE,wwealp999i,p0p100,2018,4.0688328742981
AE,wwealp999i,p0p100,2019,4.1396017074585
AE,wwealp999i,p0p100,2020,4.19792318344116
AE,wwealp999i,p0p100,2021,4.25690460205078
AF,wwealp999i,p0p100,1995,3.74966311454773
AF,wwealp999i,p0p100,1996,3.73563981056213
AF,wwealp999i,p0p100,1997,3.67963171005249
AF,wwealp999i,p0p100,1998,3.65050220489502
AF,wwealp999i,p0p100,1999,3.75843024253845
AF,wwealp999i,p0p100,2000,3.67831516265869
AF,wwealp999i,p0p100,2001,3.62755107879639
AF,wwealp999i,p0p100,2002,3.55548739433289
AF,wwealp999i,p0p100,2003,3.52372694015503
AF,wwealp999i,p0p100,2004,3.52245497703552
AF,wwealp999i,p0p100,2005,3.77145004272461
AF,wwealp999i,p0p100,2006,3.9135091304779
AF,wwealp999i,p0p100,2007,3.79531741142273
AF,wwealp999i,p0p100,2008,3.91562581062317
AF,wwealp999i,p0p100,2009,3.9635910987854
AF,wwealp999i,p0p100,2010,3.89258885383606
AF,wwealp999i,p0p100,2011,3.83902287483215
AF,wwealp999i,p0p100,2012,3.76751160621643
AF,wwealp999i,p0p100,2013,3.74284505844116
AF,wwealp999i,p0p100,2014,3.73947238922119
AF,wwealp999i,p0p100,2015,3.71126818656921
AF,wwealp999i,p0p100,2016,3.74732136726379
AF,wwealp999i,p0p100,2017,3.74527645111084
AF,wwealp999i,p0p100,2018,3.73851037025452
AF,wwealp999i,p0p100,2019,3.76085877418518
AF,wwealp999i,p0p100,2020,3.82004928588867
AF,wwealp999i,p0p100,2021,3.88105583190918
AG,wwealp999i,p0p100,1995,0.0676923766732216
AG,wwealp999i,p0p100,1996,0.103363588452339
AG,wwealp999i,p0p100,1997,0.136158227920532
AG,wwealp999i,p0p100,1998,0.254817754030228
AG,wwealp999i,p0p100,1999,0.384133756160736
AG,wwealp999i,p0p100,2000,0.451080203056335
AG,wwealp999i,p0p100,2001,0.504899442195892
AG,wwealp999i,p0p100,2002,0.541163623332977
AG,wwealp999i,p0p100,2003,0.566768527030945
